datetime,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,temp,feelslike,humidity,precip,preciptype,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
2021-10-24,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,56.4,56.4,65.8,0.0,none,0.0,0.0,7.9,45.3,9.8,Partially cloudy,partly-cloudy-day
2021-10-25,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,None,67.4,67.4,80.2,0.017,rain,0.0,0.0,7.9,49.8,9.8,"Rain, Partially cloudy",rain
2021-10-26,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,None,Sedan,None,60.8,60.8,89.3,0.355,rain,0.0,0.0,20.5,99.9,7.2,"Rain, Overcast",rain
2021-10-27,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Flat Bed,Sedan,59.4,59.4,73.1,0.021,rain,0.0,0.0,12.5,98.9,9.8,"Rain, Overcast",rain
2021-10-28,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Box Truck,56.8,56.8,67.0,0.0,none,0.0,0.0,11.2,53.6,9.9,Partially cloudy,partly-cloudy-day
2021-10-29,0.0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,55.0,54.8,73.4,0.161,rain,0.0,0.0,31.3,85.4,9.1,"Rain, Partially cloudy",rain
2021-10-30,1.0,0.0,0,0,0,0,0,0,Driver Inexperience,None,E-Scooter,None,60.6,60.6,84.5,0.059,rain,0.0,0.0,19.3,85.0,9.4,"Rain, Partially cloudy",rain
2021-10-31,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Taxi,Taxi,60.3,60.3,78.5,0.004,rain,0.0,0.0,14.8,89.1,9.8,"Rain, Partially cloudy",rain
2021-11-01,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike,58.2,58.2,57.6,0.0,none,0.0,0.0,12.7,19.5,9.9,Clear,clear-day
2021-11-02,1.0,0.0,0,0,1,0,0,0,Passenger Distraction,Unspecified,Sedan,Bike,52.9,52.2,58.8,0.0,none,0.0,0.0,15.5,78.5,9.9,Partially cloudy,partly-cloudy-day
